rate,title,url,cover,id,is_new,cover_x,cover_y,playable,episodes_info
9.6,美丽人生,https://movie.douban.com/subject/1292063/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,1292063,False,2362,3307,True,
9.3,机器人总动员,https://movie.douban.com/subject/2131459/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,2131459,False,3000,4447,True,
9.1,少年派的奇幻漂流,https://movie.douban.com/subject/1929463/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,1929463,False,3375,5000,True,
8.8,心灵奇旅,https://movie.douban.com/subject/24733428/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2626308994.jpg,24733428,False,6611,9435,True,
8.7,困在时间里的父亲,https://movie.douban.com/subject/33432655/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2654915204.jpg,33432655,False,1500,2058,False,
8.7,超能陆战队,https://movie.douban.com/subject/11026735/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614500883.jpg,11026735,False,1080,1512,True,
8.3,调音师,https://movie.douban.com/subject/30334073/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2551995207.jpg,30334073,False,5906,8268,True,
9.1,哈尔的移动城堡,https://movie.douban.com/subject/1308807/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,1308807,False,1509,2131,True,
8.1,无名之辈,https://movie.douban.com/subject/27110296/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2539661066.jpg,27110296,False,1429,2000,True,
8.6,神偷奶爸,https://movie.douban.com/subject/3287562/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,3287562,False,1013,1500,True,
